order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,seller_zip_code_prefix,seller_city,seller_state,payment_value,payment_installments,payment_type,review_score,total_price,order_purchase_month,delivery_time_days,estimated_time_days,delivery_delay_days
order_00000000,1,prod_00000314,sell_00000059,2024-12-13 23:52:15,44.18,3.57,cust_00001520,delivered,2024-12-06 23:52:15,2024-12-07 02:08:47.811223,2024-12-09 14:06:41.570248,2024-12-14 13:20:38.897065,2024-12-23 23:52:15,uniq_00001520,58929,niteroi,RJ,fashion_bolsas_e_acessorios,54,178,1,1370,80,9,44,fashion_bags_accessories,67613,brasilia,DF,47.75,5,credit_card,5.0,47.75,2024-12,7.0,17,-10.0
order_00000001,1,prod_00000739,sell_00000189,2025-05-12 10:04:14,226.72,40.7,cust_00002224,delivered,2025-05-05 10:04:14,2025-05-05 11:19:57.620958,2025-05-07 21:34:38.230067,2025-05-13 00:56:47.860183,2025-05-21 10:04:14,uniq_00002224,90065,guarulhos,SP,construcao_ferramentas_construcao,67,1428,2,1302,89,40,11,construction_tools_construction,32939,cuiaba,MT,360.56,5,credit_card,3.0,267.42,2025-05,7.0,16,-9.0
order_00000001,2,prod_00000530,sell_00000136,2025-05-10 10:04:14,85.18,7.96,cust_00002224,delivered,2025-05-05 10:04:14,2025-05-05 11:19:57.620958,2025-05-07 21:34:38.230067,2025-05-13 00:56:47.860183,2025-05-21 10:04:14,uniq_00002224,90065,guarulhos,SP,automotivo,53,1008,4,3464,71,27,26,auto,44034,joinville,SC,360.56,5,credit_card,3.0,93.14,2025-05,7.0,16,-9.0
order_00000002,1,prod_00000555,sell_00000067,2024-07-20 09:22:08,112.84,14.76,cust_00002573,delivered,2024-07-18 09:22:08,2024-07-18 12:57:03.591565,2024-07-19 04:03:03.219601,2024-07-29 09:28:10.164644,2024-08-11 09:22:08,uniq_00002573,83284,feira de santana,BA,esporte_lazer,31,1123,5,340,73,11,26,sports_leisure,24833,santo andre,SP,127.6,2,credit_card,5.0,127.60000000000001,2024-07,11.0,24,-13.0
order_00000003,1,prod_00000104,sell_00000036,2024-11-02 07:28:43,64.75,5.7,cust_00000547,delivered,2024-10-30 07:28:43,2024-10-30 15:43:11.757831,2024-10-31 05:34:16.617962,2024-11-02 07:49:52.086630,2024-11-14 07:28:43,uniq_00000547,64008,santo andre,SP,utilidades_domesticas,65,1473,4,1352,61,39,59,housewares,74414,nova iguacu,RJ,70.45,1,credit_card,3.0,70.45,2024-10,3.0,15,-12.0
order_00000004,1,prod_00000001,sell_00000029,2024-05-28 18:02:32,77.7,5.41,cust_00000717,processing,2024-05-21 18:02:32,2024-05-21 21:47:06.088745,,,2024-06-12 18:02:32,uniq_00000717,50846,guarulhos,SP,moveis_decoracao,70,2220,2,4473,70,50,54,furniture_decor,88166,uberlandia,MG,83.11,1,boleto,,83.11,2024-05,,22,
order_00000005,1,prod_00000187,sell_00000064,2025-12-20 10:32:49,80.13,11.85,cust_00001965,delivered,2025-12-17 10:32:49,2025-12-17 12:48:05.146577,2025-12-18 16:13:25.801768,2025-12-23 08:11:48.093623,2026-01-04 10:32:49,uniq_00001965,12651,guarulhos,SP,relogios_presentes,24,2191,1,4064,49,30,49,watches_gifts,77760,cuiaba,MT,213.76,1,debit_card,5.0,91.97999999999999,2025-12,5.0,18,-13.0
order_00000005,2,prod_00000150,sell_00000080,2025-12-19 10:32:49,55.49,2.92,cust_00001965,delivered,2025-12-17 10:32:49,2025-12-17 12:48:05.146577,2025-12-18 16:13:25.801768,2025-12-23 08:11:48.093623,2026-01-04 10:32:49,uniq_00001965,12651,guarulhos,SP,fashion_bolsas_e_acessorios,68,897,2,5739,24,42,27,fashion_bags_accessories,21181,guarulhos,SP,213.76,1,debit_card,5.0,58.410000000000004,2025-12,5.0,18,-13.0
order_00000005,3,prod_00000190,sell_00000030,2025-12-19 10:32:49,57.65,5.72,cust_00001965,delivered,2025-12-17 10:32:49,2025-12-17 12:48:05.146577,2025-12-18 16:13:25.801768,2025-12-23 08:11:48.093623,2026-01-04 10:32:49,uniq_00001965,12651,guarulhos,SP,beleza_saude,22,392,1,1814,47,5,11,health_beauty,40266,niteroi,RJ,213.76,1,debit_card,5.0,63.37,2025-12,5.0,18,-13.0
order_00000006,1,prod_00000202,sell_00000017,2025-02-14 14:40:12,55.55,5.56,cust_00001363,delivered,2025-02-10 14:40:12,2025-02-11 01:12:05.642862,2025-02-14 02:45:28.595883,2025-02-16 19:04:41.236971,2025-03-02 14:40:12,uniq_00001363,84289,campinas,SP,beleza_saude,28,2411,3,1077,77,35,42,health_beauty,34134,rio de janeiro,RJ,61.11,1,boleto,3.0,61.11,2025-02,6.0,20,-14.0
order_00000007,1,prod_00000537,sell_00000097,2025-04-17 07:20:44,53.06,7.36,cust_00000053,unavailable,2025-04-12 07:20:44,2025-04-12 10:30:10.754479,,,2025-05-09 07:20:44,uniq_00000053,86622,contagem,MG,pet_shop,70,2934,4,31128,79,19,40,pet_shop,89689,sao paulo,SP,60.42,5,credit_card,,60.42,2025-04,,27,
order_00000008,1,prod_00000299,sell_00000227,2024-02-24 09:54:08,167.79,28.09,cust_00002054,delivered,2024-02-21 09:54:08,2024-02-21 15:11:24.163041,2024-02-22 10:16:06.182093,2024-02-25 05:56:03.169188,2024-03-05 09:54:08,uniq_00002054,86751,guarulhos,SP,eletronicos,52,2234,5,1060,26,29,46,electronics,13800,brasilia,DF,195.88,1,credit_card,4.0,195.88,2024-02,3.0,13,-10.0
order_00000009,1,prod_00000060,sell_00000211,2024-09-02 09:02:04,17.24,1.65,cust_00001237,delivered,2024-08-31 09:02:04,2024-08-31 09:50:26.815611,2024-09-01 04:01:42.023869,2024-09-04 00:48:31.177474,2024-09-26 09:02:04,uniq_00001237,70686,campo grande,MS,informatica_acessorios,74,2842,4,1325,87,23,9,computers_accessories,35237,niteroi,RJ,18.89,1,boleto,5.0,18.889999999999997,2024-08,3.0,26,-23.0
order_00000010,1,prod_00000501,sell_00000065,2025-08-16 15:33:37,10.34,1.76,cust_00001459,delivered,2025-08-11 15:33:37,2025-08-11 17:55:09.257535,2025-08-12 21:59:12.037950,2025-08-28 03:58:11.418036,2025-08-28 15:33:37,uniq_00001459,80373,serra,ES,perfumaria,24,1076,1,412,11,57,59,perfumery,70762,niteroi,RJ,86.0,3,credit_card,5.0,12.1,2025-08,16.0,17,-1.0
order_00000010,2,prod_00000344,sell_00000055,2025-08-13 15:33:37,45.36,7.66,cust_00001459,delivered,2025-08-11 15:33:37,2025-08-11 17:55:09.257535,2025-08-12 21:59:12.037950,2025-08-28 03:58:11.418036,2025-08-28 15:33:37,uniq_00001459,80373,serra,ES,beleza_saude,47,1033,3,1352,76,8,9,health_beauty,77987,campinas,SP,86.0,3,credit_card,5.0,53.019999999999996,2025-08,16.0,17,-1.0
order_00000010,3,prod_00000729,sell_00000118,2025-08-15 15:33:37,18.09,2.79,cust_00001459,delivered,2025-08-11 15:33:37,2025-08-11 17:55:09.257535,2025-08-12 21:59:12.037950,2025-08-28 03:58:11.418036,2025-08-28 15:33:37,uniq_00001459,80373,serra,ES,construcao_ferramentas_construcao,51,2745,5,2604,15,18,20,construction_tools_construction,33254,santo andre,SP,86.0,3,credit_card,5.0,20.88,2025-08,16.0,17,-1.0
order_00000011,1,prod_00000361,sell_00000240,2024-09-04 09:47:51,32.17,4.48,cust_00001829,delivered,2024-08-29 09:47:51,2024-08-30 17:00:19.783738,2024-09-02 10:43:35.865739,2024-09-13 22:35:37.707167,2024-09-12 09:47:51,uniq_00001829,74282,campinas,SP,pet_shop,49,2749,2,717,53,42,33,pet_shop,99715,duque de caxias,RJ,56.98,1,boleto,4.0,36.650000000000006,2024-08,15.0,14,1.0
order_00000011,2,prod_00000692,sell_00000198,2024-08-31 09:47:51,17.64,2.69,cust_00001829,delivered,2024-08-29 09:47:51,2024-08-30 17:00:19.783738,2024-09-02 10:43:35.865739,2024-09-13 22:35:37.707167,2024-09-12 09:47:51,uniq_00001829,74282,campinas,SP,agro_industria_e_comercio,48,2804,2,1167,40,59,16,agro_industry_and_commerce,77652,florianopolis,SC,56.98,1,boleto,4.0,20.330000000000002,2024-08,15.0,14,1.0
order_00000012,1,prod_00000659,sell_00000102,2025-09-16 11:48:01,91.49,6.64,cust_00000924,shipped,2025-09-12 11:48:01,2025-09-12 15:40:55.346597,2025-09-14 13:25:30.011754,,2025-09-28 11:48:01,uniq_00000924,58237,belo horizonte,MG,fashion_bolsas_e_acessorios,47,1481,5,1195,69,8,58,fashion_bags_accessories,88802,rio de janeiro,RJ,260.92,5,credit_card,5.0,98.13,2025-09,,16,
order_00000012,2,prod_00000341,sell_00000061,2025-09-14 11:48:01,70.77,9.97,cust_00000924,shipped,2025-09-12 11:48:01,2025-09-12 15:40:55.346597,2025-09-14 13:25:30.011754,,2025-09-28 11:48:01,uniq_00000924,58237,belo horizonte,MG,utilidades_domesticas,66,580,5,4009,87,35,14,housewares,70469,guarulhos,SP,260.92,5,credit_card,5.0,80.74,2025-09,,16,
order_00000012,3,prod_00000266,sell_00000152,2025-09-15 11:48:01,43.09,4.0,cust_00000924,shipped,2025-09-12 11:48:01,2025-09-12 15:40:55.346597,2025-09-14 13:25:30.011754,,2025-09-28 11:48:01,uniq_00000924,58237,belo horizonte,MG,cool_stuff,50,954,1,182,84,39,8,cool_stuff,11480,campinas,SP,260.92,5,credit_card,5.0,47.09,2025-09,,16,
order_00000012,4,prod_00000337,sell_00000247,2025-09-15 11:48:01,33.37,1.59,cust_00000924,shipped,2025-09-12 11:48:01,2025-09-12 15:40:55.346597,2025-09-14 13:25:30.011754,,2025-09-28 11:48:01,uniq_00000924,58237,belo horizonte,MG,informatica_acessorios,44,141,3,2265,42,24,29,computers_accessories,73898,brasilia,DF,260.92,5,credit_card,5.0,34.96,2025-09,,16,
order_00000013,1,prod_00000275,sell_00000219,2024-11-21 04:05:56,58.35,8.81,cust_00000679,delivered,2024-11-17 04:05:56,2024-11-17 22:31:00.459957,2024-11-19 02:04:17.873133,2024-11-21 21:23:53.860276,2024-11-29 04:05:56,uniq_00000679,54424,sao bernardo do campo,SP,moveis_decoracao,30,768,5,3432,88,10,52,furniture_decor,37076,sao paulo,SP,67.16,2,credit_card,3.0,67.16,2024-11,4.0,12,-8.0
order_00000014,1,prod_00000495,sell_00000033,2025-01-26 05:40:09,27.97,3.56,cust_00000694,delivered,2025-01-22 05:40:09,2025-01-22 07:58:26.132374,2025-01-23 17:58:48.480481,2025-01-31 14:56:32.673217,2025-02-05 05:40:09,uniq_00000694,97207,guarulhos,SP,relogios_presentes,49,1294,4,906,30,47,13,watches_gifts,75840,porto alegre,RS,31.53,4,credit_card,5.0,31.529999999999998,2025-01,9.0,14,-5.0
order_00000015,1,prod_00000692,sell_00000155,2025-12-17 20:36:06,79.77,12.38,cust_00001425,delivered,2025-12-14 20:36:06,2025-12-15 06:18:29.322392,2025-12-17 06:19:34.869140,2025-12-18 21:09:30.532962,2026-01-01 20:36:06,uniq_00001425,70012,uberlandia,MG,agro_industria_e_comercio,48,2804,2,1167,40,59,16,agro_industry_and_commerce,49358,guarulhos,SP,92.15,1,credit_card,5.0,92.14999999999999,2025-12,4.0,18,-14.0
order_00000016,1,prod_00000786,sell_00000118,2025-02-15 14:42:49,53.34,7.14,cust_00000660,delivered,2025-02-11 14:42:49,2025-02-12 02:08:15.941441,2025-02-15 15:05:25.354361,2025-02-17 10:27:22.994099,2025-02-28 14:42:49,uniq_00000660,94323,sao bernardo do campo,SP,utilidades_domesticas,21,2525,5,489,53,39,25,housewares,33254,santo andre,SP,60.48,1,credit_card,5.0,60.480000000000004,2025-02,5.0,17,-12.0
order_00000017,1,prod_00000005,sell_00000079,2024-02-23 02:56:09,71.92,12.08,cust_00001012,delivered,2024-02-19 02:56:09,2024-02-19 03:45:39.130856,2024-02-19 17:45:20.955575,2024-02-21 04:29:44.420923,2024-03-07 02:56:09,uniq_00001012,87569,campinas,SP,automotivo,44,214,4,1146,63,29,33,auto,93109,sao bernardo do campo,SP,84.0,2,credit_card,4.0,84.0,2024-02,2.0,17,-15.0
order_00000018,1,prod_00000726,sell_00000058,2024-06-19 23:13:33,67.93,9.48,cust_00002439,invoiced,2024-06-17 23:13:33,2024-06-18 03:30:32.206874,,,2024-07-19 23:13:33,uniq_00002439,18239,campinas,SP,pet_shop,46,851,3,2899,35,20,10,pet_shop,34884,goiania,GO,77.41,6,credit_card,,77.41000000000001,2024-06,,32,
order_00000019,1,prod_00000110,sell_00000064,2024-10-03 02:16:35,72.77,2.52,cust_00002415,delivered,2024-10-01 02:16:35,2024-10-01 04:40:01.466156,2024-10-02 21:37:19.661076,2024-10-07 18:50:05.785903,2024-10-15 02:16:35,uniq_00002415,44502,goiania,GO,automotivo,24,1793,5,1722,26,55,18,auto,77760,cuiaba,MT,75.28999999999999,1,credit_card,5.0,75.28999999999999,2024-10,6.0,14,-8.0
order_00000020,1,prod_00000614,sell_00000120,2025-04-25 02:07:28,49.36,2.47,cust_00002570,delivered,2025-04-20 02:07:28,2025-04-20 04:53:00.550438,2025-04-21 23:45:53.614738,2025-04-23 12:57:56.880566,2025-05-11 02:07:28,uniq_00002570,12014,santo andre,SP,moveis_decoracao,37,1298,4,266,54,7,26,furniture_decor,14697,guarulhos,SP,51.83,1,credit_card,4.0,51.83,2025-04,3.0,21,-18.0
order_00000021,1,prod_00000567,sell_00000201,2024-10-06 01:16:46,67.71,4.53,cust_00000758,delivered,2024-10-04 01:16:46,2024-10-04 09:13:34.784959,2024-10-06 01:41:49.239910,2024-10-13 08:27:58.359299,2024-10-24 01:16:46,uniq_00000758,41891,sao paulo,SP,eletronicos,50,2081,5,258,89,6,49,electronics,60801,londrina,PR,72.24,1,credit_card,4.0,72.24,2024-10,9.0,20,-11.0
order_00000022,1,prod_00000219,sell_00000024,2025-10-25 20:47:39,74.25,10.61,cust_00001752,delivered,2025-10-21 20:47:39,2025-10-22 02:13:30.665291,2025-10-26 05:05:14.563805,2025-10-27 11:46:44.336934,2025-11-08 20:47:39,uniq_00001752,30369,belo horizonte,MG,cool_stuff,68,563,4,11713,91,18,34,cool_stuff,23994,campinas,SP,84.86,3,credit_card,3.0,84.86,2025-10,5.0,18,-13.0
order_00000023,1,prod_00000501,sell_00000163,2024-10-01 22:09:23,23.42,3.46,cust_00002868,delivered,2024-09-26 22:09:23,2024-09-27 08:13:40.891942,2024-09-30 22:29:44.401321,2024-10-06 15:11:41.125130,2024-10-12 22:09:23,uniq_00002868,93705,rio de janeiro,RJ,perfumaria,24,1076,1,412,11,57,59,perfumery,98142,caucaia,CE,26.88,1,boleto,5.0,26.880000000000003,2024-09,9.0,16,-7.0
order_00000024,1,prod_00000202,sell_00000238,2025-12-31 17:30:29,72.72,6.56,cust_00000397,delivered,2025-12-29 17:30:29,2025-12-30 01:56:49.148984,2026-01-01 01:43:34.244966,2026-01-04 08:49:29.725956,2026-01-14 17:30:29,uniq_00000397,23176,duque de caxias,RJ,beleza_saude,28,2411,3,1077,77,35,42,health_beauty,71377,curitiba,PR,79.28,2,credit_card,4.0,79.28,2025-12,5.0,16,-11.0
order_00000025,1,prod_00000763,sell_00000141,2025-01-02 06:28:28,144.1,11.61,cust_00001397,shipped,2024-12-27 06:28:28,2024-12-27 13:50:38.192642,2024-12-28 11:55:11.158069,,2025-01-14 06:28:28,uniq_00001397,21995,curitiba,PR,eletronicos,24,1722,2,2746,65,29,50,electronics,92818,santo andre,SP,155.71,4,credit_card,3.0,155.70999999999998,2024-12,,18,
order_00000026,1,prod_00000351,sell_00000190,2025-01-27 02:08:14,37.16,4.42,cust_00000266,unavailable,2025-01-25 02:08:14,2025-01-25 05:07:17.659050,,,2025-02-11 02:08:14,uniq_00000266,41979,maceio,AL,agro_industria_e_comercio,20,457,1,142,69,9,50,agro_industry_and_commerce,59049,sao paulo,SP,185.75,6,credit_card,,41.58,2025-01,,17,
order_00000026,2,prod_00000375,sell_00000070,2025-01-29 02:08:14,96.54,11.5,cust_00000266,unavailable,2025-01-25 02:08:14,2025-01-25 05:07:17.659050,,,2025-02-11 02:08:14,uniq_00000266,41979,maceio,AL,telefonia,77,314,4,1696,19,13,23,telephony,61520,campinas,SP,185.75,6,credit_card,,108.04,2025-01,,17,
order_00000026,3,prod_00000585,sell_00000144,2025-01-29 02:08:14,34.45,1.68,cust_00000266,unavailable,2025-01-25 02:08:14,2025-01-25 05:07:17.659050,,,2025-02-11 02:08:14,uniq_00000266,41979,maceio,AL,cool_stuff,48,2328,2,1073,24,54,13,cool_stuff,48074,campinas,SP,185.75,6,credit_card,,36.13,2025-01,,17,
order_00000027,1,prod_00000471,sell_00000073,2025-07-25 13:27:26,115.85,20.12,cust_00001983,delivered,2025-07-23 13:27:26,2025-07-23 16:33:44.431332,2025-07-26 18:23:09.282898,2025-08-10 18:08:24.663385,2025-08-22 13:27:26,uniq_00001983,36309,uberlandia,MG,utilidades_domesticas,25,2230,2,1383,27,46,32,housewares,69464,campinas,SP,135.97,3,credit_card,4.0,135.97,2025-07,18.0,30,-12.0
order_00000028,1,prod_00000257,sell_00000099,2025-12-29 03:09:09,14.47,1.58,cust_00001517,delivered,2025-12-25 03:09:09,2025-12-25 05:07:42.518149,2025-12-26 14:52:03.766805,2025-12-31 20:30:18.917351,2026-01-15 03:09:09,uniq_00001517,51049,uberlandia,MG,relogios_presentes,56,1171,1,3228,28,50,7,watches_gifts,87183,uberlandia,MG,16.05,2,credit_card,4.0,16.05,2025-12,6.0,21,-15.0
order_00000029,1,prod_00000552,sell_00000219,2025-06-09 18:16:30,52.61,7.13,cust_00001975,delivered,2025-06-07 18:16:30,2025-06-08 04:44:18.802996,2025-06-08 17:36:29.876076,2025-06-10 08:06:02.102919,2025-06-21 18:16:30,uniq_00001975,37707,juiz de fora,MG,bebes,39,979,4,2372,79,7,22,baby,37076,sao paulo,SP,132.78,1,credit_card,3.0,59.74,2025-06,2.0,14,-12.0
order_00000029,2,prod_00000341,sell_00000153,2025-06-09 18:16:30,62.72,10.32,cust_00001975,delivered,2025-06-07 18:16:30,2025-06-08 04:44:18.802996,2025-06-08 17:36:29.876076,2025-06-10 08:06:02.102919,2025-06-21 18:16:30,uniq_00001975,37707,juiz de fora,MG,utilidades_domesticas,66,580,5,4009,87,35,14,housewares,46913,campinas,SP,132.78,1,credit_card,3.0,73.03999999999999,2025-06,2.0,14,-12.0
order_00000030,1,prod_00000614,sell_00000160,2025-03-08 23:58:12,10.05,1.39,cust_00000400,delivered,2025-03-03 23:58:12,2025-03-04 00:33:12.339446,2025-03-09 20:27:20.172870,2025-03-13 00:52:27.770592,2025-03-21 23:58:12,uniq_00000400,49618,niteroi,RJ,moveis_decoracao,37,1298,4,266,54,7,26,furniture_decor,84569,feira de santana,BA,11.44,3,credit_card,5.0,11.440000000000001,2025-03,9.0,18,-9.0
order_00000031,1,prod_00000130,sell_00000007,2024-06-05 05:32:24,25.99,2.56,cust_00002657,delivered,2024-06-03 05:32:24,2024-06-03 12:14:42.590827,2024-06-04 15:16:28.954903,2024-06-06 16:27:47.542002,2024-06-22 05:32:24,uniq_00002657,75483,sao bernardo do campo,SP,bebes,36,754,2,3473,98,19,32,baby,27271,santo andre,SP,28.55,1,boleto,4.0,28.549999999999997,2024-06,3.0,19,-16.0
order_00000032,1,prod_00000397,sell_00000014,2025-06-06 02:10:36,38.64,3.96,cust_00002221,delivered,2025-06-04 02:10:36,2025-06-04 21:48:37.004122,2025-06-05 13:05:08.293022,2025-06-11 14:23:35.308917,2025-06-24 02:10:36,uniq_00002221,31516,sao paulo,SP,relogios_presentes,26,2148,1,3362,23,51,47,watches_gifts,96013,curitiba,PR,42.6,10,credit_card,5.0,42.6,2025-06,7.0,20,-13.0
