customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cust_00000000,uniq_00000000,13278,sao paulo,SP
cust_00000001,uniq_00000001,42098,guarulhos,SP
cust_00000002,uniq_00000002,28289,campinas,SP
cust_00000003,uniq_00000003,98696,sao paulo,SP
cust_00000004,uniq_00000004,87397,rio de janeiro,RJ
cust_00000005,uniq_00000005,14165,sao bernardo do campo,SP
cust_00000006,uniq_00000006,22280,rio de janeiro,RJ
cust_00000007,uniq_00000007,40495,niteroi,RJ
cust_00000008,uniq_00000008,83563,belo horizonte,MG
cust_00000009,uniq_00000009,95181,campinas,SP
cust_00000010,uniq_00000010,64987,santo andre,SP
cust_00000011,uniq_00000011,68878,fortaleza,CE
cust_00000012,uniq_00000012,46463,santo andre,SP
cust_00000013,uniq_00000013,30926,sao paulo,SP
cust_00000014,uniq_00000014,54597,sao bernardo do campo,SP
cust_00000015,uniq_00000015,30379,guarulhos,SP
cust_00000016,uniq_00000016,54118,campinas,SP
cust_00000017,uniq_00000017,22156,florianopolis,SC
cust_00000018,uniq_00000018,22676,sao bernardo do campo,SP
cust_00000019,uniq_00000019,55082,londrina,PR
cust_00000020,uniq_00000020,15695,brasilia,DF
cust_00000021,uniq_00000021,80284,sao bernardo do campo,SP
cust_00000022,uniq_00000022,59615,curitiba,PR
cust_00000023,uniq_00000023,82357,rio de janeiro,RJ
cust_00000024,uniq_00000024,92397,londrina,PR
cust_00000025,uniq_00000025,85674,duque de caxias,RJ
cust_00000026,uniq_00000026,19116,campinas,SP
cust_00000027,uniq_00000027,96673,rio de janeiro,RJ
cust_00000028,uniq_00000028,47930,campinas,SP
cust_00000029,uniq_00000029,40512,sao paulo,SP
cust_00000030,uniq_00000030,59823,belem,PA
cust_00000031,uniq_00000031,69429,aparecida de goiania,GO
cust_00000032,uniq_00000032,31319,jaboatao dos guararapes,PE
cust_00000033,uniq_00000033,56566,jaboatao dos guararapes,PE
cust_00000034,uniq_00000034,97841,campinas,SP
cust_00000035,uniq_00000035,99593,brasilia,DF
cust_00000036,uniq_00000036,89840,sao paulo,SP
cust_00000037,uniq_00000037,80010,campinas,SP
cust_00000038,uniq_00000038,31417,niteroi,RJ
cust_00000039,uniq_00000039,59735,natal,RN
cust_00000040,uniq_00000040,93886,guarulhos,SP
cust_00000041,uniq_00000041,99733,niteroi,RJ
cust_00000042,uniq_00000042,17331,guarulhos,SP
cust_00000043,uniq_00000043,14207,campinas,SP
