geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
56064,-23.495713836434803,-46.32671667884816,sao paulo,SP
72737,-23.016106548822084,-46.381228915206776,sao paulo,SP
70455,-23.524951531580385,-46.1867994911415,sao paulo,SP
32387,-24.157593596883963,-47.026670350452065,sao paulo,SP
46996,-23.295509732899482,-46.595767493124065,sao paulo,SP
55693,-23.31834590466275,-46.58067774327042,campinas,SP
89225,-23.32871629161884,-46.84432084629796,campinas,SP
85324,-23.328854174176094,-46.30167564153773,campinas,SP
26697,-23.13383481882063,-45.99593371160539,campinas,SP
76577,-23.426770466949286,-46.51782667394585,campinas,SP
23491,-23.956951739252155,-46.75942342034153,guarulhos,SP
63174,-23.557924622201984,-46.284904134317095,guarulhos,SP
24022,-23.68330033722689,-46.36109799407535,guarulhos,SP
52712,-23.500486515089015,-46.65315043453443,guarulhos,SP
82895,-23.425331809260022,-46.717346911675854,guarulhos,SP
95124,-23.6287111744278,-47.111435771737035,sao bernardo do campo,SP
19296,-23.574386262198367,-46.743990443844616,sao bernardo do campo,SP
49599,-23.654794296804724,-46.47493808122299,sao bernardo do campo,SP
79828,-23.302410414162846,-46.530341648607305,sao bernardo do campo,SP
70420,-23.201375442865157,-46.427331422250894,sao bernardo do campo,SP
62535,-23.58851685694169,-46.73885688571431,santo andre,SP
87402,-23.406153328969946,-46.42786986702943,santo andre,SP
64190,-23.08064670789055,-46.242648086517974,santo andre,SP
41270,-23.66244190195215,-46.63060188403818,santo andre,SP
91379,-23.29869465852467,-46.27960066658231,santo andre,SP
41941,-22.61830915938856,-43.21916334984941,rio de janeiro,RJ
81820,-23.276206795728555,-43.49968091287368,rio de janeiro,RJ
30843,-22.818209945704176,-43.0973323261727,rio de janeiro,RJ
73225,-23.229603812030312,-43.18662911673322,rio de janeiro,RJ
60307,-22.710632692908465,-43.54536799725214,rio de janeiro,RJ
18658,-22.568500839458675,-43.31325934456795,niteroi,RJ
54658,-22.522716066227,-43.36003573373277,niteroi,RJ
37294,-23.207987644865252,-43.33744109695252,niteroi,RJ
87459,-22.928544436923193,-43.31654397203145,niteroi,RJ
66511,-22.964800426471932,-43.09981045509715,niteroi,RJ
67062,-22.95135381093892,-43.219833718185605,duque de caxias,RJ
84345,-23.41276791976078,-43.08249059519686,duque de caxias,RJ
54852,-22.9267609893075,-42.716912105855144,duque de caxias,RJ
81372,-23.181869550176184,-43.742488598549855,duque de caxias,RJ
40953,-22.714579451820985,-43.0960418945061,duque de caxias,RJ
32686,-23.20252990615934,-43.65892468650123,nova iguacu,RJ
96849,-22.43878098079471,-42.77576688281797,nova iguacu,RJ
97766,-23.646237027611836,-43.33746690877695,nova iguacu,RJ
20209,-22.40074238356483,-43.34281876733336,nova iguacu,RJ
85260,-23.047183670207993,-43.284827798288816,nova iguacu,RJ
73783,-20.236269092130446,-44.41143272326841,belo horizonte,MG
24984,-19.584235806779574,-44.4528810718743,belo horizonte,MG
87616,-19.82581856436737,-43.6340261521727,belo horizonte,MG
88128,-20.335367889670348,-44.17728052077852,belo horizonte,MG
70674,-19.53604624348252,-43.74013248393189,belo horizonte,MG
52647,-20.085185712063666,-43.53932529899165,uberlandia,MG
82756,-19.53803928296371,-43.81928419209529,uberlandia,MG
