order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
order_00000000,1,prod_00000314,sell_00000059,2024-12-13 23:52:15,44.18,3.57
order_00000001,1,prod_00000739,sell_00000189,2025-05-12 10:04:14,226.72,40.7
order_00000001,2,prod_00000530,sell_00000136,2025-05-10 10:04:14,85.18,7.96
order_00000002,1,prod_00000555,sell_00000067,2024-07-20 09:22:08,112.84,14.76
order_00000003,1,prod_00000104,sell_00000036,2024-11-02 07:28:43,64.75,5.7
order_00000004,1,prod_00000001,sell_00000029,2024-05-28 18:02:32,77.7,5.41
order_00000005,1,prod_00000187,sell_00000064,2025-12-20 10:32:49,80.13,11.85
order_00000005,2,prod_00000150,sell_00000080,2025-12-19 10:32:49,55.49,2.92
order_00000005,3,prod_00000190,sell_00000030,2025-12-19 10:32:49,57.65,5.72
order_00000006,1,prod_00000202,sell_00000017,2025-02-14 14:40:12,55.55,5.56
order_00000007,1,prod_00000537,sell_00000097,2025-04-17 07:20:44,53.06,7.36
order_00000008,1,prod_00000299,sell_00000227,2024-02-24 09:54:08,167.79,28.09
order_00000009,1,prod_00000060,sell_00000211,2024-09-02 09:02:04,17.24,1.65
order_00000010,1,prod_00000501,sell_00000065,2025-08-16 15:33:37,10.34,1.76
order_00000010,2,prod_00000344,sell_00000055,2025-08-13 15:33:37,45.36,7.66
order_00000010,3,prod_00000729,sell_00000118,2025-08-15 15:33:37,18.09,2.79
order_00000011,1,prod_00000361,sell_00000240,2024-09-04 09:47:51,32.17,4.48
order_00000011,2,prod_00000692,sell_00000198,2024-08-31 09:47:51,17.64,2.69
order_00000012,1,prod_00000659,sell_00000102,2025-09-16 11:48:01,91.49,6.64
order_00000012,2,prod_00000341,sell_00000061,2025-09-14 11:48:01,70.77,9.97
order_00000012,3,prod_00000266,sell_00000152,2025-09-15 11:48:01,43.09,4.0
order_00000012,4,prod_00000337,sell_00000247,2025-09-15 11:48:01,33.37,1.59
order_00000013,1,prod_00000275,sell_00000219,2024-11-21 04:05:56,58.35,8.81
order_00000014,1,prod_00000495,sell_00000033,2025-01-26 05:40:09,27.97,3.56
order_00000015,1,prod_00000692,sell_00000155,2025-12-17 20:36:06,79.77,12.38
order_00000016,1,prod_00000786,sell_00000118,2025-02-15 14:42:49,53.34,7.14
order_00000017,1,prod_00000005,sell_00000079,2024-02-23 02:56:09,71.92,12.08
order_00000018,1,prod_00000726,sell_00000058,2024-06-19 23:13:33,67.93,9.48
order_00000019,1,prod_00000110,sell_00000064,2024-10-03 02:16:35,72.77,2.52
order_00000020,1,prod_00000614,sell_00000120,2025-04-25 02:07:28,49.36,2.47
order_00000021,1,prod_00000567,sell_00000201,2024-10-06 01:16:46,67.71,4.53
order_00000022,1,prod_00000219,sell_00000024,2025-10-25 20:47:39,74.25,10.61
order_00000023,1,prod_00000501,sell_00000163,2024-10-01 22:09:23,23.42,3.46
order_00000024,1,prod_00000202,sell_00000238,2025-12-31 17:30:29,72.72,6.56
order_00000025,1,prod_00000763,sell_00000141,2025-01-02 06:28:28,144.1,11.61
order_00000026,1,prod_00000351,sell_00000190,2025-01-27 02:08:14,37.16,4.42
order_00000026,2,prod_00000375,sell_00000070,2025-01-29 02:08:14,96.54,11.5
order_00000026,3,prod_00000585,sell_00000144,2025-01-29 02:08:14,34.45,1.68
order_00000027,1,prod_00000471,sell_00000073,2025-07-25 13:27:26,115.85,20.12
order_00000028,1,prod_00000257,sell_00000099,2025-12-29 03:09:09,14.47,1.58
order_00000029,1,prod_00000552,sell_00000219,2025-06-09 18:16:30,52.61,7.13
order_00000029,2,prod_00000341,sell_00000153,2025-06-09 18:16:30,62.72,10.32
order_00000030,1,prod_00000614,sell_00000160,2025-03-08 23:58:12,10.05,1.39
order_00000031,1,prod_00000130,sell_00000007,2024-06-05 05:32:24,25.99,2.56
order_00000032,1,prod_00000397,sell_00000014,2025-06-06 02:10:36,38.64,3.96
order_00000033,1,prod_00000450,sell_00000159,2025-03-24 15:40:27,211.72,20.94
order_00000033,2,prod_00000668,sell_00000074,2025-03-22 15:40:27,43.08,6.8
order_00000034,1,prod_00000528,sell_00000050,2024-08-22 19:52:31,48.7,2.35
order_00000035,1,prod_00000660,sell_00000219,2024-06-17 20:54:18,52.12,1.66
order_00000036,1,prod_00000557,sell_00000006,2025-07-03 12:43:07,18.44,2.52
order_00000037,1,prod_00000068,sell_00000085,2024-07-06 17:07:37,163.0,10.89
order_00000038,1,prod_00000362,sell_00000097,2024-11-26 10:14:35,77.22,10.6
order_00000039,1,prod_00000548,sell_00000050,2024-07-29 19:30:47,53.63,2.6
order_00000040,1,prod_00000678,sell_00000164,2024-05-12 04:45:26,54.98,7.19
order_00000041,1,prod_00000536,sell_00000151,2024-11-13 04:29:53,224.0,34.85
order_00000042,1,prod_00000770,sell_00000173,2024-05-18 04:41:09,116.06,10.96
order_00000042,2,prod_00000160,sell_00000139,2024-05-18 04:41:09,70.07,10.75
order_00000043,1,prod_00000394,sell_00000164,2024-01-31 18:29:55,21.24,1.8
order_00000043,2,prod_00000686,sell_00000009,2024-01-27 18:29:55,14.79,1.13
order_00000043,3,prod_00000532,sell_00000190,2024-01-28 18:29:55,29.51,1.84
order_00000044,1,prod_00000292,sell_00000049,2024-08-22 17:52:10,168.0,21.02
order_00000044,2,prod_00000529,sell_00000046,2024-08-21 17:52:10,18.65,2.38
order_00000045,1,prod_00000001,sell_00000186,2024-04-10 00:46:07,17.95,1.63
order_00000046,1,prod_00000518,sell_00000230,2024-06-14 23:23:07,40.8,5.18
order_00000046,2,prod_00000387,sell_00000176,2024-06-12 23:23:07,75.57,7.86
order_00000047,1,prod_00000706,sell_00000044,2024-12-18 12:38:58,66.59,5.36
order_00000047,2,prod_00000322,sell_00000012,2024-12-16 12:38:58,77.74,7.76
order_00000048,1,prod_00000460,sell_00000140,2025-05-01 20:41:05,25.0,2.41
order_00000049,1,prod_00000111,sell_00000042,2025-11-01 00:53:12,17.29,1.81
order_00000049,2,prod_00000772,sell_00000065,2025-11-01 00:53:12,46.05,2.42
order_00000050,1,prod_00000565,sell_00000087,2024-12-21 01:36:51,65.09,6.92
order_00000051,1,prod_00000646,sell_00000242,2024-08-17 14:43:38,131.95,8.23
order_00000051,2,prod_00000754,sell_00000175,2024-08-15 14:43:38,27.8,4.26
order_00000052,1,prod_00000081,sell_00000068,2025-05-30 06:02:12,101.09,8.28
order_00000052,2,prod_00000480,sell_00000028,2025-05-28 06:02:12,10.96,1.08
order_00000053,1,prod_00000587,sell_00000137,2025-05-29 04:38:59,52.09,7.56
order_00000054,1,prod_00000367,sell_00000180,2025-04-06 14:37:33,21.39,3.68
order_00000054,2,prod_00000581,sell_00000223,2025-04-05 14:37:33,76.0,12.89
order_00000055,1,prod_00000269,sell_00000121,2024-06-25 09:12:50,15.33,2.45
order_00000056,1,prod_00000788,sell_00000086,2025-09-18 09:32:37,26.45,3.28
order_00000057,1,prod_00000726,sell_00000152,2025-07-24 09:00:18,14.62,2.3
order_00000058,1,prod_00000030,sell_00000086,2024-01-07 08:31:12,74.53,6.95
order_00000059,1,prod_00000659,sell_00000095,2024-11-21 14:56:53,384.71,52.49
order_00000059,2,prod_00000503,sell_00000013,2024-11-23 14:56:53,26.48,3.08
order_00000059,3,prod_00000154,sell_00000147,2024-11-23 14:56:53,223.2,21.36
order_00000060,1,prod_00000687,sell_00000006,2024-08-15 12:56:52,73.67,6.26
order_00000061,1,prod_00000235,sell_00000075,2025-04-08 01:40:47,73.34,5.34
order_00000062,1,prod_00000155,sell_00000050,2025-12-14 03:32:52,77.82,10.0
order_00000062,2,prod_00000020,sell_00000013,2025-12-11 03:32:52,42.94,4.41
order_00000063,1,prod_00000272,sell_00000197,2024-10-10 04:05:28,97.69,16.37
order_00000064,1,prod_00000424,sell_00000121,2025-01-17 18:04:20,71.65,2.25
order_00000065,1,prod_00000064,sell_00000222,2024-01-25 16:40:19,12.71,0.42
order_00000065,2,prod_00000718,sell_00000176,2024-01-22 16:40:19,92.12,3.75
order_00000065,3,prod_00000656,sell_00000218,2024-01-23 16:40:19,23.59,3.33
order_00000066,1,prod_00000642,sell_00000074,2024-10-11 23:31:33,51.6,4.02
order_00000066,2,prod_00000370,sell_00000240,2024-10-15 23:31:33,51.22,5.02
order_00000067,1,prod_00000340,sell_00000177,2025-10-01 00:32:11,58.7,2.64
order_00000068,1,prod_00000103,sell_00000126,2025-10-12 05:24:12,27.95,1.13
order_00000068,2,prod_00000025,sell_00000234,2025-10-17 05:24:12,27.39,4.43
order_00000068,3,prod_00000708,sell_00000073,2025-10-13 05:24:12,57.06,6.3
order_00000068,4,prod_00000158,sell_00000050,2025-10-16 05:24:12,70.94,10.92
order_00000069,1,prod_00000366,sell_00000054,2025-11-27 18:54:53,46.81,6.17
order_00000070,1,prod_00000537,sell_00000075,2025-01-15 21:42:39,14.66,1.15
order_00000070,2,prod_00000585,sell_00000071,2025-01-16 21:42:39,126.93,14.49
order_00000071,1,prod_00000561,sell_00000208,2024-07-22 09:54:16,15.21,2.35
order_00000072,1,prod_00000759,sell_00000202,2025-11-13 13:24:59,78.99,11.49
order_00000073,1,prod_00000444,sell_00000047,2025-01-01 03:36:45,35.18,2.72
order_00000074,1,prod_00000284,sell_00000083,2024-11-01 14:02:26,65.75,8.41
order_00000075,1,prod_00000279,sell_00000009,2024-01-16 00:59:05,40.31,7.02
order_00000075,2,prod_00000776,sell_00000141,2024-01-20 00:59:05,46.77,1.82
