order_id,payment_sequential,payment_type,payment_installments,payment_value
order_00000000,1,credit_card,5,47.75
order_00000001,1,credit_card,5,360.56
order_00000002,1,credit_card,2,127.6
order_00000003,1,credit_card,1,70.45
order_00000004,1,boleto,1,83.11
order_00000005,1,debit_card,1,213.76
order_00000006,1,boleto,1,61.11
order_00000007,1,credit_card,5,60.42
order_00000008,1,credit_card,1,195.88
order_00000009,1,boleto,1,18.89
order_00000010,1,credit_card,3,86.0
order_00000011,1,boleto,1,56.98
order_00000012,1,credit_card,5,260.92
order_00000013,1,credit_card,2,67.16
order_00000014,1,credit_card,4,31.53
order_00000015,1,credit_card,1,92.15
order_00000016,1,credit_card,1,60.48
order_00000017,1,credit_card,2,84.0
order_00000018,1,credit_card,6,77.41
order_00000019,1,credit_card,1,51.43
order_00000019,2,credit_card,1,23.86
order_00000020,1,credit_card,1,51.83
order_00000021,1,credit_card,1,72.24
order_00000022,1,credit_card,2,45.98
order_00000022,2,credit_card,3,38.88
order_00000023,1,boleto,1,26.88
order_00000024,1,credit_card,2,79.28
order_00000025,1,credit_card,4,59.45
order_00000025,2,boleto,1,96.26
order_00000026,1,credit_card,6,185.75
order_00000027,1,credit_card,3,135.97
order_00000028,1,credit_card,2,16.05
order_00000029,1,credit_card,1,132.78
order_00000030,1,credit_card,3,11.44
order_00000031,1,boleto,1,28.55
order_00000032,1,credit_card,10,42.6
order_00000033,1,boleto,1,282.54
order_00000034,1,debit_card,1,51.05
order_00000035,1,credit_card,1,53.78
order_00000036,1,credit_card,3,20.96
order_00000037,1,voucher,1,173.89
order_00000038,1,credit_card,2,87.82
order_00000039,1,boleto,1,56.23
order_00000040,1,boleto,1,62.17
order_00000041,1,credit_card,10,258.85
order_00000042,1,credit_card,1,207.84
order_00000043,1,credit_card,5,70.31
order_00000044,1,boleto,1,210.05
order_00000045,1,credit_card,1,19.58
order_00000046,1,credit_card,4,129.41
order_00000047,1,credit_card,5,157.45
order_00000048,1,credit_card,3,27.41
order_00000049,1,credit_card,6,67.57
order_00000050,1,credit_card,1,72.01
order_00000051,1,credit_card,8,172.24
order_00000052,1,credit_card,1,47.95
order_00000052,2,credit_card,6,73.46
