review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
rev_00000000,order_00000000,5,,,2024-12-18 13:20:38.897065,2024-12-20 13:20:38.897065
rev_00000001,order_00000001,3,,,2025-05-15 00:56:47.860183,2025-05-16 00:56:47.860183
rev_00000002,order_00000002,5,,,2024-08-01 09:28:10.164644,2024-08-03 09:28:10.164644
rev_00000003,order_00000003,3,,,2024-11-05 07:49:52.086630,2024-11-07 07:49:52.086630
rev_00000004,order_00000005,5,,,2025-12-25 08:11:48.093623,2025-12-27 08:11:48.093623
rev_00000005,order_00000006,3,,,2025-02-19 19:04:41.236971,2025-02-19 19:04:41.236971
rev_00000006,order_00000008,4,,,2024-02-27 05:56:03.169188,2024-02-27 05:56:03.169188
rev_00000007,order_00000009,5,,,2024-09-08 00:48:31.177474,2024-09-10 00:48:31.177474
rev_00000008,order_00000010,5,,,2025-09-01 03:58:11.418036,2025-09-02 03:58:11.418036
rev_00000009,order_00000011,4,,,2024-09-14 22:35:37.707167,2024-09-14 22:35:37.707167
rev_00000010,order_00000012,5,,,2025-09-13 11:48:01.000000,2025-09-14 11:48:01.000000
rev_00000011,order_00000013,3,,,2024-11-22 21:23:53.860276,2024-11-24 21:23:53.860276
rev_00000012,order_00000014,5,,,2025-02-03 14:56:32.673217,2025-02-05 14:56:32.673217
rev_00000013,order_00000015,5,,,2025-12-21 21:09:30.532962,2025-12-22 21:09:30.532962
rev_00000014,order_00000016,5,,,2025-02-19 10:27:22.994099,2025-02-19 10:27:22.994099
rev_00000015,order_00000017,4,,,2024-02-25 04:29:44.420923,2024-02-25 04:29:44.420923
rev_00000016,order_00000019,5,,,2024-10-08 18:50:05.785903,2024-10-10 18:50:05.785903
rev_00000017,order_00000020,4,,,2025-04-25 12:57:56.880566,2025-04-25 12:57:56.880566
rev_00000018,order_00000021,4,,,2024-10-14 08:27:58.359299,2024-10-16 08:27:58.359299
rev_00000019,order_00000022,3,,,2025-10-28 11:46:44.336934,2025-10-29 11:46:44.336934
rev_00000020,order_00000023,5,,,2024-10-09 15:11:41.125130,2024-10-11 15:11:41.125130
rev_00000021,order_00000024,4,,,2026-01-08 08:49:29.725956,2026-01-08 08:49:29.725956
rev_00000022,order_00000025,3,,,2024-12-28 06:28:28.000000,2024-12-30 06:28:28.000000
rev_00000023,order_00000027,4,,,2025-08-11 18:08:24.663385,2025-08-13 18:08:24.663385
rev_00000024,order_00000028,4,,,2026-01-03 20:30:18.917351,2026-01-05 20:30:18.917351
rev_00000025,order_00000029,3,,,2025-06-14 08:06:02.102919,2025-06-15 08:06:02.102919
rev_00000026,order_00000030,5,,,2025-03-14 00:52:27.770592,2025-03-16 00:52:27.770592
rev_00000027,order_00000031,4,,,2024-06-10 16:27:47.542002,2024-06-10 16:27:47.542002
rev_00000028,order_00000032,5,,,2025-06-15 14:23:35.308917,2025-06-15 14:23:35.308917
rev_00000029,order_00000033,4,,,2025-04-02 00:01:29.310814,2025-04-02 00:01:29.310814
rev_00000030,order_00000034,5,,,2024-08-26 00:34:48.595528,2024-08-26 00:34:48.595528
rev_00000031,order_00000035,3,,,2024-06-22 22:43:44.131335,2024-06-23 22:43:44.131335
rev_00000032,order_00000036,2,,,2025-06-30 12:43:07.000000,2025-07-02 12:43:07.000000
rev_00000033,order_00000037,5,,,2024-07-12 04:56:04.800708,2024-07-14 04:56:04.800708
rev_00000034,order_00000038,5,,,2024-11-27 18:01:51.232462,2024-11-27 18:01:51.232462
rev_00000035,order_00000039,4,,,2024-08-06 02:08:52.761270,2024-08-06 02:08:52.761270
rev_00000036,order_00000040,2,,,2024-05-16 19:16:30.276648,2024-05-18 19:16:30.276648
rev_00000037,order_00000041,4,,,2024-11-28 17:17:25.067534,2024-11-28 17:17:25.067534
rev_00000038,order_00000042,4,,,2024-05-20 04:49:24.045802,2024-05-22 04:49:24.045802
rev_00000039,order_00000043,1,,,2024-02-26 09:39:27.271791,2024-02-27 09:39:27.271791
rev_00000040,order_00000044,2,,,2024-08-24 05:59:19.921840,2024-08-26 05:59:19.921840
rev_00000041,order_00000046,3,,,2024-06-17 20:38:22.788497,2024-06-17 20:38:22.788497
rev_00000042,order_00000049,3,,,2025-11-05 09:00:34.525057,2025-11-06 09:00:34.525057
rev_00000043,order_00000050,2,,,2024-12-28 01:38:00.650550,2024-12-28 01:38:00.650550
rev_00000044,order_00000051,4,,,2024-09-08 18:02:28.430009,2024-09-10 18:02:28.430009
rev_00000045,order_00000052,4,,,2025-05-26 05:26:11.499930,2025-05-27 05:26:11.499930
rev_00000046,order_00000053,4,,,2025-06-04 11:59:16.274675,2025-06-04 11:59:16.274675
rev_00000047,order_00000054,5,,,2025-04-05 14:57:37.039676,2025-04-07 14:57:37.039676
rev_00000048,order_00000055,5,,,2024-06-29 00:58:45.980371,2024-06-29 00:58:45.980371
