product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prod_00000000,construcao_ferramentas_construcao,51,1430,4,681,67,7,55
prod_00000001,moveis_decoracao,70,2220,2,4473,70,50,54
prod_00000002,papelaria,77,786,2,1341,71,19,29
prod_00000003,perfumaria,25,1461,1,904,71,7,21
prod_00000004,utilidades_domesticas,67,1439,1,3485,50,16,33
prod_00000005,automotivo,44,214,4,1146,63,29,33
prod_00000006,telefonia,30,927,4,2477,26,6,12
prod_00000007,fashion_bolsas_e_acessorios,55,173,4,2241,25,18,20
prod_00000008,utilidades_domesticas,44,1996,4,1862,10,43,5
prod_00000009,pet_shop,70,331,1,5151,76,5,5
prod_00000010,beleza_saude,58,2128,1,343,13,27,59
prod_00000011,cool_stuff,63,2876,4,4263,90,57,19
prod_00000012,esporte_lazer,29,474,4,1000,74,14,22
prod_00000013,moveis_decoracao,66,1445,1,6465,81,26,26
prod_00000014,agro_industria_e_comercio,45,1853,1,2180,15,18,37
prod_00000015,moveis_decoracao,26,763,1,2666,84,27,52
prod_00000016,fashion_bolsas_e_acessorios,70,1266,3,1214,48,48,8
prod_00000017,eletronicos,29,1308,3,452,83,57,36
prod_00000018,bebes,61,589,3,109,85,28,9
prod_00000019,telefonia,43,2494,3,1544,53,38,31
prod_00000020,papelaria,39,291,1,11038,17,26,46
prod_00000021,utilidades_domesticas,26,2041,5,793,25,19,9
prod_00000022,relogios_presentes,22,1658,5,4415,91,29,12
prod_00000023,construcao_ferramentas_construcao,50,377,4,1657,73,34,23
prod_00000024,perfumaria,42,1889,5,3125,10,43,38
prod_00000025,beleza_saude,58,1142,5,710,33,9,27
prod_00000026,automotivo,38,2084,1,783,50,16,13
prod_00000027,informatica_acessorios,69,238,1,2516,28,58,46
prod_00000028,beleza_saude,53,642,4,1229,19,45,12
prod_00000029,utilidades_domesticas,45,2478,1,156,29,24,13
prod_00000030,papelaria,27,1138,2,1144,72,44,31
prod_00000031,bebes,40,872,5,5149,44,25,8
prod_00000032,fashion_bolsas_e_acessorios,68,1043,1,2277,89,51,43
prod_00000033,brinquedos,53,2125,1,11109,24,10,6
prod_00000034,fashion_bolsas_e_acessorios,43,660,4,1336,29,52,12
prod_00000035,moveis_escritorio,20,2710,3,8843,58,29,14
prod_00000036,telefonia,31,2858,5,8580,78,18,38
prod_00000037,bebes,67,2464,1,3169,44,59,5
prod_00000038,bebes,78,853,2,4116,45,16,22
prod_00000039,fashion_bolsas_e_acessorios,68,1942,3,2528,43,52,37
prod_00000040,automotivo,68,757,5,11309,14,29,28
prod_00000041,moveis_decoracao,48,2083,3,2763,47,37,14
prod_00000042,pet_shop,56,1117,3,608,30,24,57
prod_00000043,eletronicos,29,2578,4,3075,56,19,48
prod_00000044,cama_mesa_banho,59,341,5,2657,32,17,21
prod_00000045,brinquedos,50,115,1,5545,99,32,5
prod_00000046,papelaria,66,2927,5,608,75,40,19
prod_00000047,bebes,57,1743,5,5477,59,36,24
prod_00000048,cool_stuff,55,481,1,150,12,33,51
prod_00000049,pet_shop,46,1246,3,639,80,10,30
prod_00000050,beleza_saude,73,1124,3,5694,96,29,34
prod_00000051,informatica_acessorios,78,2208,5,833,27,45,23
prod_00000052,moveis_escritorio,73,1767,1,1046,73,12,19
prod_00000053,perfumaria,34,1354,2,517,89,6,40
prod_00000054,eletronicos,39,1958,2,3267,93,38,38
prod_00000055,agro_industria_e_comercio,73,1691,4,3195,59,29,24
prod_00000056,automotivo,44,1688,4,11137,71,43,16
prod_00000057,cool_stuff,67,2472,2,1995,63,20,59
prod_00000058,automotivo,49,2130,3,1207,39,41,57
prod_00000059,automotivo,58,1774,5,4113,89,54,25
prod_00000060,informatica_acessorios,74,2842,4,1325,87,23,9
prod_00000061,automotivo,55,1104,2,3890,53,35,59
prod_00000062,construcao_ferramentas_construcao,49,786,1,3116,83,31,20
prod_00000063,bebes,49,2992,4,605,94,49,57
prod_00000064,papelaria,59,1458,4,3385,41,10,34
prod_00000065,telefonia,45,2440,5,1629,78,29,17
prod_00000066,construcao_ferramentas_construcao,43,2167,4,1198,70,24,19
prod_00000067,relogios_presentes,45,665,2,885,20,41,45
prod_00000068,pet_shop,30,1662,3,881,62,5,7
prod_00000069,cool_stuff,22,2815,4,4007,39,58,9
prod_00000070,utilidades_domesticas,68,2802,1,1283,81,23,36
prod_00000071,cool_stuff,50,2816,1,37923,84,49,17
prod_00000072,moveis_escritorio,46,2651,3,1462,61,58,7
prod_00000073,cama_mesa_banho,70,1219,5,862,17,18,7
prod_00000074,cama_mesa_banho,43,1392,3,1699,40,30,22
prod_00000075,esporte_lazer,77,1180,4,370,42,55,7
prod_00000076,cama_mesa_banho,57,1991,4,1483,26,21,37
prod_00000077,eletronicos,39,889,4,6638,36,47,7
prod_00000078,informatica_acessorios,43,1729,1,6631,30,43,28
prod_00000079,pet_shop,28,1567,4,1973,35,13,24
prod_00000080,informatica_acessorios,75,2374,4,619,82,26,5
prod_00000081,papelaria,24,1068,5,825,92,12,46
prod_00000082,perfumaria,62,183,4,2543,97,43,25
prod_00000083,telefonia,60,428,2,1306,51,6,8
prod_00000084,brinquedos,27,707,5,1023,54,44,30
prod_00000085,automotivo,51,2639,1,2327,62,37,56
prod_00000086,relogios_presentes,50,1798,4,7582,76,50,43
prod_00000087,beleza_saude,27,835,3,2189,38,26,24
prod_00000088,cama_mesa_banho,25,1166,1,1705,40,57,38
prod_00000089,agro_industria_e_comercio,57,2588,5,525,13,6,16
prod_00000090,esporte_lazer,54,1833,5,1113,44,52,19
prod_00000091,beleza_saude,26,2546,5,1010,15,51,21
prod_00000092,agro_industria_e_comercio,23,1246,3,884,95,32,46
prod_00000093,relogios_presentes,57,863,1,10878,18,38,40
prod_00000094,agro_industria_e_comercio,28,2960,4,396,28,20,15
prod_00000095,informatica_acessorios,61,235,1,835,83,22,39
prod_00000096,informatica_acessorios,62,149,3,1473,55,10,51
prod_00000097,esporte_lazer,33,1002,2,7428,88,35,33
prod_00000098,agro_industria_e_comercio,61,2905,1,773,85,29,45
prod_00000099,moveis_decoracao,24,615,4,1902,66,35,7
prod_00000100,bebes,72,806,2,2349,75,28,15
prod_00000101,construcao_ferramentas_construcao,43,454,2,6211,28,6,55
prod_00000102,utilidades_domesticas,21,626,5,2079,97,11,10
prod_00000103,informatica_acessorios,65,2016,1,2295,67,53,21
prod_00000104,utilidades_domesticas,65,1473,4,1352,61,39,59
prod_00000105,automotivo,24,1268,5,1670,61,18,33
prod_00000106,brinquedos,27,2507,1,2588,78,57,36
prod_00000107,papelaria,79,2071,3,639,21,56,5
prod_00000108,esporte_lazer,26,2804,2,2511,12,33,26
prod_00000109,papelaria,57,1433,3,6156,59,58,46
prod_00000110,automotivo,24,1793,5,1722,26,55,18
prod_00000111,eletronicos,78,694,2,1464,43,10,49
prod_00000112,cool_stuff,68,1752,5,444,10,17,47
prod_00000113,automotivo,46,2858,4,1736,12,29,37
prod_00000114,utilidades_domesticas,59,628,5,4194,63,27,28
prod_00000115,esporte_lazer,48,201,3,3925,63,31,42
prod_00000116,automotivo,72,715,5,351,90,41,7
prod_00000117,beleza_saude,55,360,4,3823,58,10,14
prod_00000118,bebes,73,2371,1,3872,24,48,50
prod_00000119,bebes,77,2873,2,1155,61,10,8
prod_00000120,cool_stuff,77,1274,4,1174,53,56,7
prod_00000121,beleza_saude,47,934,2,594,36,55,14
prod_00000122,automotivo,68,2930,3,561,57,12,53
prod_00000123,automotivo,72,996,5,1555,40,22,16
prod_00000124,utilidades_domesticas,67,2398,4,1271,15,35,42
prod_00000125,papelaria,34,1322,3,768,90,59,22
prod_00000126,esporte_lazer,41,1696,5,1126,97,56,12
prod_00000127,fashion_bolsas_e_acessorios,40,2112,3,2614,30,7,35
prod_00000128,relogios_presentes,74,510,3,1343,99,32,48
prod_00000129,agro_industria_e_comercio,62,386,5,4356,74,24,16
prod_00000130,bebes,36,754,2,3473,98,19,32
prod_00000131,utilidades_domesticas,28,372,2,850,83,13,35
prod_00000132,fashion_bolsas_e_acessorios,21,1211,3,2079,64,32,42
prod_00000133,informatica_acessorios,67,2879,3,729,59,5,7
prod_00000134,moveis_decoracao,34,1047,2,613,87,19,14
prod_00000135,moveis_escritorio,75,1772,4,1017,48,9,29
prod_00000136,eletronicos,75,2381,1,10714,61,29,52
prod_00000137,relogios_presentes,31,2796,2,4276,19,13,30
prod_00000138,agro_industria_e_comercio,54,2766,5,1324,87,57,6
prod_00000139,informatica_acessorios,42,143,4,2704,55,23,28
prod_00000140,papelaria,39,2194,3,3608,55,59,35
prod_00000141,automotivo,47,2325,3,281,73,32,26
prod_00000142,informatica_acessorios,75,537,4,1061,66,51,16
prod_00000143,beleza_saude,76,1679,4,796,60,57,38
prod_00000144,esporte_lazer,79,1712,3,1217,30,48,48
prod_00000145,esporte_lazer,68,350,2,1972,88,53,46
prod_00000146,construcao_ferramentas_construcao,42,201,1,2732,25,36,41
prod_00000147,automotivo,37,503,2,1735,96,34,7
prod_00000148,papelaria,65,1120,1,4020,23,52,32
prod_00000149,cama_mesa_banho,40,272,1,1819,30,8,7
prod_00000150,fashion_bolsas_e_acessorios,68,897,2,5739,24,42,27
prod_00000151,moveis_decoracao,71,1317,1,1501,66,19,56
prod_00000152,cama_mesa_banho,63,774,2,6339,23,39,37
prod_00000153,beleza_saude,71,356,2,2128,28,28,46
prod_00000154,bebes,23,2736,2,2354,62,7,8
prod_00000155,automotivo,49,368,4,500,30,45,50
prod_00000156,moveis_decoracao,38,842,4,1921,83,22,47
prod_00000157,cool_stuff,58,2769,4,2574,91,15,26
prod_00000158,bebes,78,2703,2,1047,74,59,14
prod_00000159,construcao_ferramentas_construcao,72,228,1,1074,18,35,11
prod_00000160,cama_mesa_banho,36,2502,5,14066,42,8,27
prod_00000161,pet_shop,30,2071,1,770,73,34,12
prod_00000162,fashion_bolsas_e_acessorios,59,1000,4,618,91,42,46
prod_00000163,fashion_bolsas_e_acessorios,65,2072,2,2924,70,44,7
prod_00000164,eletronicos,73,505,2,7647,69,43,40
prod_00000165,bebes,40,2060,2,730,72,17,40
prod_00000166,esporte_lazer,43,2019,1,6140,88,10,47
prod_00000167,moveis_escritorio,50,127,5,340,30,21,53
prod_00000168,telefonia,43,2591,2,2076,43,6,46
prod_00000169,cama_mesa_banho,22,705,4,2975,16,16,23
prod_00000170,bebes,45,447,5,513,87,24,17
prod_00000171,fashion_bolsas_e_acessorios,46,454,5,1206,70,6,45
prod_00000172,informatica_acessorios,64,267,5,433,75,24,58
prod_00000173,construcao_ferramentas_construcao,72,306,1,1501,41,46,5
prod_00000174,moveis_escritorio,57,2182,3,2082,12,50,28
prod_00000175,perfumaria,20,1555,2,393,22,40,13
prod_00000176,cool_stuff,33,2759,2,1259,75,19,13
prod_00000177,brinquedos,66,2996,4,2043,27,19,22
prod_00000178,bebes,43,1914,4,3318,99,12,34
prod_00000179,beleza_saude,53,229,5,617,40,37,58
