seller_id,seller_zip_code_prefix,seller_city,seller_state
sell_00000000,21507,niteroi,RJ
sell_00000001,78251,sao bernardo do campo,SP
sell_00000002,64700,niteroi,RJ
sell_00000003,85090,salvador,BA
sell_00000004,65897,campinas,SP
sell_00000005,89346,duque de caxias,RJ
sell_00000006,68873,duque de caxias,RJ
sell_00000007,27271,santo andre,SP
sell_00000008,95520,fortaleza,CE
sell_00000009,86156,campinas,SP
sell_00000010,99659,santo andre,SP
sell_00000011,28102,cuiaba,MT
sell_00000012,78656,duque de caxias,RJ
sell_00000013,66369,campinas,SP
sell_00000014,96013,curitiba,PR
sell_00000015,30715,blumenau,SC
sell_00000016,18888,londrina,PR
sell_00000017,34134,rio de janeiro,RJ
sell_00000018,29073,contagem,MG
sell_00000019,51771,sao paulo,SP
sell_00000020,63903,vila velha,ES
sell_00000021,68065,guarulhos,SP
sell_00000022,93472,pelotas,RS
sell_00000023,29917,duque de caxias,RJ
sell_00000024,23994,campinas,SP
sell_00000025,34215,uberlandia,MG
sell_00000026,90213,florianopolis,SC
sell_00000027,44978,santo andre,SP
sell_00000028,84323,santo andre,SP
sell_00000029,88166,uberlandia,MG
sell_00000030,40266,niteroi,RJ
sell_00000031,57089,belo horizonte,MG
sell_00000032,72469,sao paulo,SP
sell_00000033,75840,porto alegre,RS
sell_00000034,71441,pelotas,RS
sell_00000035,34114,contagem,MG
sell_00000036,74414,nova iguacu,RJ
sell_00000037,28024,caxias do sul,RS
sell_00000038,35330,campinas,SP
sell_00000039,14224,campinas,SP
sell_00000040,11967,caucaia,CE
sell_00000041,64138,guarulhos,SP
sell_00000042,97993,florianopolis,SC
sell_00000043,36812,campinas,SP
sell_00000044,33209,sao paulo,SP
sell_00000045,90879,sao bernardo do campo,SP
sell_00000046,52584,sao bernardo do campo,SP
sell_00000047,42346,sao bernardo do campo,SP
sell_00000048,63066,juiz de fora,MG
sell_00000049,89682,salvador,BA
sell_00000050,51012,jaboatao dos guararapes,PE
sell_00000051,90151,nova iguacu,RJ
sell_00000052,78242,campo grande,MS
sell_00000053,69193,rio de janeiro,RJ
sell_00000054,15559,sao bernardo do campo,SP
sell_00000055,77987,campinas,SP
sell_00000056,15144,juiz de fora,MG
sell_00000057,77649,nova iguacu,RJ
sell_00000058,34884,goiania,GO
sell_00000059,67613,brasilia,DF
sell_00000060,49918,vila velha,ES
sell_00000061,70469,guarulhos,SP
sell_00000062,65372,campinas,SP
sell_00000063,90364,guarulhos,SP
sell_00000064,77760,cuiaba,MT
sell_00000065,70762,niteroi,RJ
sell_00000066,21854,sao bernardo do campo,SP
sell_00000067,24833,santo andre,SP
sell_00000068,86735,niteroi,RJ
sell_00000069,81618,serra,ES
sell_00000070,61520,campinas,SP
sell_00000071,52396,caxias do sul,RS
sell_00000072,13265,feira de santana,BA
